"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","645","Debería mostrar error con contraseña incorrecta","","Fri Jun 27 13:25:56 UTC 2025","passed","Fri Jun 27 13:25:56 UTC 2025","","Login tests negativos","",""
"","2450","Login exitoso con credenciales válidas","","Fri Jun 27 13:25:53 UTC 2025","passed","Fri Jun 27 13:25:55 UTC 2025","","Login con Page Object Model","",""
"","691","Debería mostrar error con usuario incorrecto","","Fri Jun 27 13:25:55 UTC 2025","passed","Fri Jun 27 13:25:56 UTC 2025","","Login tests negativos","",""
